,month,CFSAUID,ratio_for_demand_calc,gender_male_v2,gender_female_v2,male_from_hotspot,female_from_hotspot
0,1,M2N,0.0904816808714081,5474,2577,495,233
1,1,M4Y,0.0790817590295592,5474,2577,433,204
2,1,M5A,0.078342446129092,5474,2577,429,202
3,1,M5B,0.0705373920635642,5474,2577,386,182
4,1,M4H,0.0703889671946138,5474,2577,385,181
5,1,M3N,0.0612383946730692,5474,2577,335,158
6,1,M5T,0.0600236568494587,5474,2577,329,155
7,1,M4X,0.0600093087889723,5474,2577,328,155
8,1,M5G,0.0572279178744162,5474,2577,313,147
9,1,M2J,0.0560168640122819,5474,2577,307,144
10,1,M5S,0.0549280595033457,5474,2577,301,142
11,1,M3C,0.0548532169175654,5474,2577,300,141
12,1,M6K,0.0524908281477536,5474,2577,287,135
13,1,M1G,0.0518976134037254,5474,2577,284,134
14,1,M5V,0.0513235940379155,5474,2577,281,132
15,1,M1K,0.0511583005032582,5474,2577,280,132
16,2,M2N,0.0904816808714081,5487,2599,496,235
17,2,M4Y,0.0790817590295592,5487,2599,434,206
18,2,M5A,0.078342446129092,5487,2599,430,204
19,2,M5B,0.0705373920635642,5487,2599,387,183
20,2,M4H,0.0703889671946138,5487,2599,386,183
21,2,M3N,0.0612383946730692,5487,2599,336,159
22,2,M5T,0.0600236568494587,5487,2599,329,156
23,2,M4X,0.0600093087889723,5487,2599,329,156
24,2,M5G,0.0572279178744162,5487,2599,314,149
25,2,M2J,0.0560168640122819,5487,2599,307,146
26,2,M5S,0.0549280595033457,5487,2599,301,143
27,2,M3C,0.0548532169175654,5487,2599,301,143
28,2,M6K,0.0524908281477536,5487,2599,288,136
29,2,M1G,0.0518976134037254,5487,2599,285,135
30,2,M5V,0.0513235940379155,5487,2599,282,133
31,2,M1K,0.0511583005032582,5487,2599,281,133
32,3,M2N,0.0904816808714081,5146,2436,466,220
33,3,M4Y,0.0790817590295592,5146,2436,407,193
34,3,M5A,0.078342446129092,5146,2436,403,191
35,3,M5B,0.0705373920635642,5146,2436,363,172
36,3,M4H,0.0703889671946138,5146,2436,362,171
37,3,M3N,0.0612383946730692,5146,2436,315,149
38,3,M5T,0.0600236568494587,5146,2436,309,146
39,3,M4X,0.0600093087889723,5146,2436,309,146
40,3,M5G,0.0572279178744162,5146,2436,294,139
41,3,M2J,0.0560168640122819,5146,2436,288,136
42,3,M5S,0.0549280595033457,5146,2436,283,134
43,3,M3C,0.0548532169175654,5146,2436,282,134
44,3,M6K,0.0524908281477536,5146,2436,270,128
45,3,M1G,0.0518976134037254,5146,2436,267,126
46,3,M5V,0.0513235940379155,5146,2436,264,125
47,3,M1K,0.0511583005032582,5146,2436,263,125
48,4,M2N,0.0904816808714081,5128,2467,464,223
49,4,M4Y,0.0790817590295592,5128,2467,406,195
50,4,M5A,0.078342446129092,5128,2467,402,193
51,4,M5B,0.0705373920635642,5128,2467,362,174
52,4,M4H,0.0703889671946138,5128,2467,361,174
53,4,M3N,0.0612383946730692,5128,2467,314,151
54,4,M5T,0.0600236568494587,5128,2467,308,148
55,4,M4X,0.0600093087889723,5128,2467,308,148
56,4,M5G,0.0572279178744162,5128,2467,293,141
57,4,M2J,0.0560168640122819,5128,2467,287,138
58,4,M5S,0.0549280595033457,5128,2467,282,136
59,4,M3C,0.0548532169175654,5128,2467,281,135
60,4,M6K,0.0524908281477536,5128,2467,269,129
61,4,M1G,0.0518976134037254,5128,2467,266,128
62,4,M5V,0.0513235940379155,5128,2467,263,127
63,4,M1K,0.0511583005032582,5128,2467,262,126
64,5,M2N,0.0904816808714081,4824,2373,436,215
65,5,M4Y,0.0790817590295592,4824,2373,381,188
