month,true_total,ratio_male,ratio_female,gender_male_v2,gender_female_v2
1,8051,0.6799126041239929,0.32008739587600704,5474,2577
2,8086,0.6785475904418635,0.3214524095581365,5487,2599
3,7582,0.6787405962663694,0.3212594037336306,5146,2436
4,7595,0.675197963800905,0.324802036199095,5128,2467
5,7197,0.6702867072111208,0.3297132927888792,4824,2373
6,7039,0.6670119875684476,0.33298801243155246,4695,2344
7,6969,0.6613509854069506,0.33864901459304947,4609,2360
8,6946,0.6614019253910951,0.33859807460890495,4594,2352
9,6774,0.6625463535228677,0.33745364647713233,4488,2286
10,6765,0.6593899984517727,0.34061000154822735,4461,2304
11,7054,0.6650470695414515,0.33495293045854846,4691,2363
12,8026,0.6784681085548974,0.3215318914451027,5445,2581
