,ADDRESS_PO,ADDRESS_FU,POSTAL_COD,MUNICIPALI,CITY,CENTRELINE,OBJECTID,WARD,NEIGHBOURH,NEIGHBOU_1,COMMUNITY_,CONFIDENTI,MOTEL,CAPACITY,NAME,TYPE,TYPE2,CITY_OP,geometry
0,808260,70 Gerrard St E,M5B1G6,former TORONTO,Toronto,1143800,44,Toronto Centre-Rosedale (27),75,Church-Yonge Corridor,TORONTO AND EAST YORK COMMUNITY COUNCIL,N,,38,St. Vincent De Paul - Mary's Home,Single,Single Women,,POINT (-79.37840775 43.66014526)
1,9531684,3410 Bayview Ave,M2M3S3,NORTH YORK,Toronto,9531674,45,Willowdale (24),50,Newtonbrook East,NORTH YORK COMMUNITY COUNCIL,N,,30,St. Vincent De Paul - St. Clare's Residence,Single,Single Women,,POINT (-79.39544085 43.79810881)
2,2591634,87 Pembroke St,M5A2N9,former TORONTO,Toronto,14020526,46,Toronto Centre-Rosedale (27),73,Moss Park,TORONTO AND EAST YORK COMMUNITY COUNCIL,N,,33,Street Haven at the Crossroads,Single,Single Women,,POINT (-79.37242958 43.65924255)
3,8067796,129 Peter St,M5V2H3,former TORONTO,Toronto,20139637,47,Trinity-Spadina (20),77,Waterfront Communities-The Islands,TORONTO AND EAST YORK COMMUNITY COUNCIL,N,,VARIES,Streets to Homes Assessment & Referral Centre,Single,Mixed Adult,Y,POINT (-79.39323797 43.64874717)
4,6362877,191 Spadina Rd,M5R2T9,former TORONTO,Toronto,6362837,48,Trinity-Spadina (20),95,Annex,TORONTO AND EAST YORK COMMUNITY COUNCIL,N,,24,Toronto Community Hostel,Family,Family,,POINT (-79.40628402 43.67361705)
5,3202303,1076 Pape Ave,M4K3W5,EAST YORK,Toronto,3202292,49,Toronto-Danforth (29),57,Broadview North,TORONTO AND EAST YORK COMMUNITY COUNCIL,N,,32,Touchstone Youth Shelter,Single,Youth,,POINT (-79.34965193 43.69092854)
6,13967932,95 Wellesley St E,M4Y2X9,former TORONTO,Toronto,7731365,50,Toronto Centre-Rosedale (27),75,Church-Yonge Corridor,TORONTO AND EAST YORK COMMUNITY COUNCIL,N,,35,Turning Point Youth Services,Single,Youth,,POINT (-79.37921523 43.6658642)
7,14208804,23 Grange Rd,M5T 1C3,former TORONTO,Toronto,7796189,51,Trinity-Spadina (20),78,Kensington-Chinatown,TORONTO AND EAST YORK COMMUNITY COUNCIL,N,,65,University Settlement - Part time Shelter,Single,Mixed Adult,,POINT (-79.39147427 43.65205191)
8,770171,63 Bellwoods Ave,M6J3N4,former TORONTO,Toronto,14018131,52,Trinity-Spadina (19),81,Trinity-Bellwoods,TORONTO AND EAST YORK COMMUNITY COUNCIL,N,,10,Women's Residence - Bellwoods House,Single,Single Women,Y,POINT (-79.41137489 43.64801553)
9,796650,674 Dundas St W,M5T1H9,former TORONTO,Toronto,1145170,53,Trinity-Spadina (20),78,Kensington-Chinatown,TORONTO AND EAST YORK COMMUNITY COUNCIL,N,,100,Women's Residence - Main Site,Single,Single Women,Y,POINT (-79.40369147 43.65197881)
